Age,Age_bacon,Age_clam20,Que.il-t,Que.su-t,Que.pu-t,Ole,Pin,Abi,Acc,Ace,Aln,Bet,Cpn.be,Cas.sa,Cel,Cti,Cit,Cupeae,Euc,Fag,Fic.ca,Fra,Fra.or,Jug,Mor,Ost,Pic,Pla,Pop,Pru-t,Sor,Sty,Tax,Til,Ulm,Vtx,Arc.ox,Bux,Abt,Cis,Pfl,Pis,Cpx,Crn.sa,Cor,Eph,Gei-t,Hde.he,Hpp,Jun-t,Lav-t,Myt,Ros,Rbs,Slx,Sam,Smi,Tam,Thyeae,Vit,Erc.ar-t,Poaeae,Ach-t,All,Apieae,Aum-t,Art-t,Apg,Asd.al-t,Asteae.Ci,Ast-t,Asg-t,Bor,Braeae,Cam-t,Can.sa,Cdu-t,Crl-t,Crh,Cryeae,Ctu,Ctr,Crs-t,Cen.cy,Cer.so,Cer-t,Cpy.hi-t,Che-t,Cch,Cgo,Cyd,Con-t,Ccu,Cus,Cyc,Cgl-t,Dau.ca,Ecm,Ery,Eup,Epr,Fabeae,Flc.vu,Flg-t,Fum,Gal,Geneae,Ger,Glm,Hli,Hern,Hum,Hyp,Kna,Lameae,Lav,Lileae-t,Lnr,Lin,Lin.ca-t,Lis-t,Lot,Lyg,Lys.vu-t,Mlv,Mth,Mnt-t,Mrc.an,Odo-t,Orl,Orn-t,Orp,Pap,Pyc-t,Peu-t,Phm,Pmp.ma-t,Pln.co,Pln.la,Pln.ma,Pln.mr,Pol,Pri,Ptl-t,Rad.li,Ran.ac-t,Res,Roseae,Rubeae,Rum.as-t,Rum.al,Sal-t,San.mi-t,Sax.rt,Scu-t,Sca,Sll-t,Screae,Sed,Sen,Sil.di-t,Sil.vu-t,Sin-t,Sol.du,Sol.ni-t,Spu-t,Sta-t,Teu,Tha,Thg.cy,Trf.pr-t,Trf.re-t,Urt.cf.di,Urt.pi-t,Val,Vlr,Vrb,Vro-t,Vic-t,char,infl,Influx_bacon,Influx_bacon_z,Influx_clam20,Influx_clam20z
2525,2943,2417,7.6,7,5.6,0.8,3,0,0,0,4.2,1,0,0,0,0,0,0,0,0.2,0,1.2,0,0,0,1.6,0,0,0.4,0,0,0,0,0,0.2,0.2,0,0,0.2,2,0.2,18,0.4,0,0.6,0,3.2,0,0,2.6,0,0,0,0.2,0,0.2,0,0.6,0,0,8,8.4,0.2,0,0,0,1,0,0,0.4,1,0,0,1.8,0,0,0,0,0,0.2,0,0,0,0,0,1.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.8,0,1,0,0,0,0,0.6,0,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,2.6,0,0.4,0,0,0,0,1.4,0,0,0,1,1.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,2,0,0.4,0.2,0,0,1.6,0,0,0,0,0,0,23998.2,1041.5,8553.628049,-0.947299948,2592.0085,-1.042340107
2704,3015,2646,9.3,2.8,8.7,2.4,2.8,0.2,0,0.3,3.3,1.2,0.2,0,0,0,0,0,0,0.5,0,0.2,0,0,0,1.4,0,0,0.5,0,0,0,0,0,0.3,0,0,0,0,0.9,2.2,13.1,0,0,2.2,0.2,0.2,0,0,2.4,0,0.5,0,0,0,0,0,1.9,0.2,0,4.5,13.1,2.9,0,0.2,0,2.1,0,0.3,2.6,0,0,0,0.9,0,0,0.2,0.3,0,0,0,0,0,0,0,0.5,0.2,3.5,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,4.5,0.5,0.2,0,0,0,0,0,0,0,0.2,0,4.2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45804.8,1987.8,26474.94163,-0.385570357,8906.125241,-0.915318282
2882,3087,2863,13.7,2.7,3.5,1.7,4.2,0,0,0,4.8,1.7,0.4,0,0,0,0,0.6,0,0.6,0,1.3,0.6,0,0,1.2,0,0,0.2,1,0,0,0,0,0.2,0,0,0,0,0.8,1,13.8,0.8,0,2.1,0.2,0,0,0,0.6,0.4,0.2,0,0,0.2,0,0,1.3,0,0.2,6.7,7.7,0.4,0,0,0,2.1,0,0,0.8,1.2,0,0,1.5,0,0,0.2,0,0,0,0,0,0,0,0,1.3,0,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0.2,3.5,0,0,0,0,0,0,0.2,0,0,0,1.5,2.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1.3,0,0,0,0,0.6,0.2,0,0,0,0,0,23422.7,1016.5,9369.089069,-0.921739959,2946.254424,-1.0352137
3060,3154,3060,15.6,2.5,8.8,7.5,2.7,0,0,0,1.2,0.2,0.2,0,0,0,0,0,0,0,0,0.6,0.2,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,15.8,0,0,0.6,0.2,0,0,0,3.3,0,0,0,0.2,0,0,0,2.3,0.2,0.2,6.3,9.2,0.2,0,0.2,0,0.2,0,0.4,0.8,0.6,0,0,0.6,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,1.3,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,2.9,0.4,0.6,0,0,0,0,0.4,0,0,0.6,0,6.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,41983.5,1937.7,13098.74387,-0.804836839,8225.787411,-0.929004718
3260,3277,3284,17.5,2.1,2.7,5,1.5,0,0,0.2,2.5,1,0.2,0,0,0,0,0,0,0,0,1.2,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,1,1.3,15.6,0.4,0,0.8,0.6,0.2,0,0,2.3,0.6,0,0,0.6,0.4,0,0,1.5,0,0,8.5,8.3,0,0.2,0,0,3.1,0,0,0.6,1,0,0,1.3,0,0,0.2,0,0,0,0,0,0,0,0,1.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.2,0.2,0,0,0,0,0.4,0,0,0,2.3,2.3,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1.9,0.8,0,0,0,0,1.3,0,0,0,0,0,0,34150.6,1576.2,8456.339286,-0.950349389,4151.078191,-1.010976119
3431,3384,3434,32.1,2.3,7.1,3.4,12.1,0,0,0,0.9,0.4,0.4,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,1.5,7.7,0,0,0.9,0,0,0,0,0.8,0,0.4,0,0,0,0,0.1,4.7,0.1,0.1,8.7,3.4,0.4,0,0,0,0.6,0,0,1.4,0.6,0,0,0.9,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0.1,0,0,0.1,0,1.6,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18311.3,1127.3,18173.8117,-0.645762798,13503.76101,-0.822827106
3486,3445,3510,32,1.2,1.2,1.6,1.2,0,0,0,2,0.6,0,0,0,0,0,0.2,0,0.6,0,1.2,0.6,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0.4,0.4,0,0.2,0,0.8,1,10.9,0,0,2,0,1.4,0,0,1.8,0,0,0.6,0.6,0.8,0,0,2,0,0,12.1,1.4,0,0,0,0,0.8,0,0,0,0.8,0,0,1.8,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1,0,0,0,0.2,1.2,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,6.2,0.8,0,0,0,0,0.8,0,0,0,0,0,0,12710.4,782.5,5742.768182,-1.035404158,4590.875727,-1.002128661
3540,3503,3575,31.6,0.9,8.3,6.3,0.6,0,0,0,1.8,0.2,0.4,0,0,0,0,0,0,0.7,0,0.4,0.4,0.2,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,3.5,6.7,0,0,0.7,0,0,0,0,0.9,0,0.2,0,0.2,0.4,0,0,7,0,0,12.6,3.1,0,0,0.2,0,0.6,0,0,0.7,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,12621.3,777,9311.002657,-0.923560632,8650.424766,-0.920462238
3594,3559,3631,31.5,0.8,1.9,1.5,1.3,0.2,0,0,2.1,0,0,0,0,0,0,0.2,0,0.9,0,2.3,0.8,0,0,0.9,0,0,0.2,0.4,0,0.2,0,0,0.4,0,0,0,0,0,2.4,10.5,0.4,0,1.9,0,0.6,0,0,1.5,0.2,0,0,0.6,0.4,0,0,3.6,0,0,10.3,3,0,0,0,0,1.7,0,0,0,0.2,0,0,0.9,0,0,0.2,0,0,0.2,0,0,0,0,0,0.8,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,2.6,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0.6,0,0,0,0.4,1.3,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,4.9,0.9,0,0,0,0,0.8,0,0,0,0,0,0,16100.9,991.2,7801.596195,-0.9708718,8259.630235,-0.928323898
3616,3582,3651,35.7,0.9,7.5,6.1,1.3,0,0,0,1.3,0,0.2,0,0,0,0,0,0,0.4,0,0.9,0,0,0,0.6,0,0,0,0,0,0,0.2,0.2,0.4,0,0,0.2,0,0.2,2.4,9,0,0.2,1.5,0,0.2,0,0,0.7,0.2,0.4,0,0,0.2,0,0,4.8,0,0,12.3,3.5,0.4,0,0.2,0,0.7,0,0.4,0.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16016.2,986,11881.00792,-0.843005822,13147.99669,-0.829984058
3681,3651,3709,37.7,0.9,4.4,5.8,1.2,0,0,0.2,1.6,0,0,0,0,0,0,0,0,0.9,0,0.5,0.2,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.4,3.9,11.1,0,0,1.2,0.2,0,0,0,1.2,0.2,0,0,0,0.2,0,0,4.4,0,0,11.5,3.5,0,0,0,0,0.7,0,0,0.4,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.4,0,0,0,0,0,0,0.2,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0,17846.7,1098.7,12648.74748,-0.818941625,16790.37275,-0.756709953
3703,3675,3726,28,2.4,4.5,2,2.4,0,0,0,0.8,0.2,0,0,0,0,0,0.6,0,0,0,1.8,0.6,0.2,0,0.8,0,0,0.2,0,0,0.2,0,0,0.4,0.6,0,0,1.6,0.6,0.6,9.9,0.2,0,0.6,0,6.1,0,0,0.4,0,0,0,0.6,0,0.2,0,1.2,0,0,14.6,2.8,0.2,0,0.2,0,1,0,0,0.6,0.2,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.6,0,0,0,0.2,0,0,0,0,0.4,0,35845.1,2206.8,16521.32075,-0.697558837,20465.60003,-0.682774976
3746,3720,3762,35.5,0.3,5.3,5.9,1.9,0,0,0,2.4,0.1,0.3,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0.3,0.3,3.2,11,0,0,0.7,0.1,0,0,0,0.7,0,0,0,0.1,0.1,0,0,5,0,0.3,9.9,3.8,0,0,0.1,0,0.7,0,0.3,1.2,0.6,0,0,0.1,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.1,0,0,0,0,0.1,0,0,0,0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31841.9,1960.3,27025.62603,-0.368309584,36811.29539,-0.353946712
3789,3766,3797,37.7,1.1,5.3,2.7,1.1,0,0,0,1.9,0.4,0,0,0,0,0,0,0,0.4,0,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.4,4.8,12.7,0,0,1.3,0,0,0,0,0.7,0,1.3,0,0,0.1,0,0,4.7,0,0,8,4.8,0.3,0,0,0,0.7,0,0,0.1,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.9,0,0.6,0,0,0.1,0,0,0,0,0.1,0.1,1.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50990.2,3139.2,48811.14085,0.314540381,59459.8615,0.101677141
3811,3788,3815,34.4,1.8,1.4,1.2,1.4,0.2,0,0,1.6,0.2,0,0,0,0,0,0,0,0.2,0,1.2,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0.6,1.4,10.9,1,0,1,0,0.4,0,0,0.8,0.2,0,0,1.2,0.2,0,0,4.2,0,0,12.3,4.3,0.2,0,0,0,0.4,0,0,0.8,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1,0,0,0,0.2,1.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,3,0.8,0,0,0,0,0.8,0,0,0,0,0,0,23218,1429.4,10680.2887,-0.880641429,12700.88386,-0.838978679
4078,4101,4065,16.1,1.8,2.8,1,2,0,0,0,1.2,0,0,0,0,0,0,0.4,0,0.8,0,0.6,0,0,0.2,1.4,0,0,0.6,0,0,0.2,0,0,0.2,0,0,0,0.6,0.8,0.4,17.9,0.2,0,0.8,0,0,0,0,0.8,0,0.2,0,0,0.8,0.4,0,3,0,0,27.5,5.2,0,0,0,0.2,2,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0.4,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0,1.2,0,0,0,1.4,1,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,1.2,0,0,0,0,0.2,0,51434,7511,23472.59907,-0.479676442,31183.40456,-0.467163649
4166,4204,4152,9.8,4.1,2.4,1.4,0.4,0,0,0,2.4,0.2,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0.4,0,0,2.2,0,0,0.4,0,0,0.4,0,0,0,0.4,1.2,0,22.6,0.2,0,2,0,2,0,0,1.4,0,0,0,1,0,0,0,6.9,0,0,15.9,5.3,0.4,0,0,0,0.6,0,0.2,0,0,0,0,0.6,0,0,0.2,0,0,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0.2,0,0,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0.4,0,0.2,0.4,0,0,0,0,0,0,1.4,0,0,0,2.2,1.4,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0,0,0,1.4,0.6,0,0,0,0,0,28856.3,4213.9,14658.98438,-0.755932318,15644.59378,-0.779759723
4270,4315,4253,15.2,0.8,4.5,1.4,1.9,0,0,0.2,2.5,0.2,0,0,0,0,0,1.2,0,0.6,0,1,0,0,0,1.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,16.3,1.2,0,1.9,0,0,0,0,7.8,0,0,0,0,0,0,0,1.4,0,0,20.2,4.7,0,0,0,0,1.9,0,0,0.4,0.8,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.2,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.4,1,0,0.8,0,0,0,0,1.4,0,0,0,0.8,1.4,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0,1.2,0,0,0,0,0,0,70262,5285.2,25796.20968,-0.40684468,32921.32502,-0.4322017
4341,4382,4309,5.4,0.4,3.8,2,1.8,0,0,0,2.5,0.4,0.2,0,0,0,0,0,0,0.7,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.7,32.5,0,0,0.7,0.4,0.2,0,0,0.9,0.2,0,0,0,0.5,0,0,9.6,0,0,12.9,8,0.2,0,0.4,0,0.4,0,0.2,1.3,0.4,0,0,0.7,0,0,0.2,0,0,0,0.2,0,0,0,0,0.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.5,0,2.9,0,0,0,0,0.9,0,0,0.2,0,2.4,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.7,0,0,0,0,0,0,47100.3,3542.9,27805.76547,-0.343856722,33414.65379,-0.422277348
4412,4450,4369,8.1,0.4,1.2,0.8,1,0,0,0,3.3,0.4,0,0,0,0,0,0,0,0.8,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,35.6,0.2,0,0.8,0.2,0.2,0,0,1.4,0,0,0.2,0.2,0.2,0,0,10.4,0,0,14.4,4.5,0,0.4,0,0,1.6,0,0,0.6,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0.4,0,0,0,0,1.2,0,0,0.2,0.8,2.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.4,0,0,0,0,0.6,0,0,0,0,0,0,108055.4,8128.1,37973.75,-0.02514918,43327.83211,-0.222852781
4695,4731,4634,10.4,1,2.7,0.4,1.6,0,0,0.2,3.3,0.6,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0,0,0.6,0,0,0,0.6,0,0,0,0,0.2,0.2,0,0,0,0.8,0,16.2,0,0,0.4,0,0.2,0,0,2,0.8,0,0,0,0.4,0,0,16.2,0,0.4,12.9,7.8,0.8,0,0,0.4,1.6,0,0,0.6,1.6,0,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0.8,0,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.2,0,0,0,0,0.6,0,0,0,0.2,0.6,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.2,0,0,0,0,0.8,0,0,0,0,0,0,125345.8,9428.7,43781.5,0.156890212,43134.48276,-0.226742412
4837,4869,4779,8.6,1.8,2.9,0,4.5,0,0,0,2.3,0.2,0,0,0,0.2,0,1,0,0,0,0.4,0.2,0,0,0.4,0,0,0.4,0,0,0,0,0,2.2,0,0,0,0.2,2.3,0,7.6,0.4,0,1.4,0.6,1.4,0,0,7.2,0,0,0,0.6,0,0,0,1.6,0,0,15.9,12.1,0.2,0.2,0,0.2,0.4,0,0.4,1.2,1.2,0,0,2.3,0,0,0,0,0,0.2,0,0,0,0,0,1.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,1.4,0,0.2,0,0,0,0,0.4,0,0,0,0,1.2,0.4,0,0,0,0,0,0,0,0.6,0,0,1.8,0,0,0,0,0,0,3.5,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0,0,2.5,0,0,0,0,0.6,0,43750.5,3291,15968.93617,-0.714872901,15054.88932,-0.791622876
4978,5006,4930,16.9,1.6,3.6,0.4,1.6,0,0,0,2.6,0.6,0.2,0,0,0,0,0,0,0.8,0,0.8,0.2,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.6,0.8,23.6,1.4,0.2,1.8,0,0,0,0,2.2,0,0,0,0,0.2,0,0,1.4,0,0,19.4,6,0.2,0,0,0,0.6,0,0,1.4,0.2,0,0,1.2,0,0,0.4,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.6,0,0,0,0,0.4,0.2,0,0,0.2,0,0,95459.4,7180.6,37008.87574,-0.055392411,31507.22885,-0.460649238
